Date,Open,High,Low,Close,Adj Close,Volume
2021-07-01,26.000000,26.980000,18.900000,20.100000,20.100000,2246700
2021-07-02,19.500000,20.990000,16.927999,20.280001,20.280001,414600
2021-07-06,19.309999,20.590000,18.010000,20.200001,20.200001,151600
2021-07-07,20.040001,20.068001,18.360001,18.750000,18.750000,169200
2021-07-08,18.549999,18.620001,17.030001,17.780001,17.780001,120800
2021-07-09,17.780001,19.570000,17.780001,18.900000,18.900000,46100
2021-07-12,19.059999,19.480000,17.900000,18.500000,18.500000,245700
2021-07-13,18.360001,19.000000,18.090000,18.940001,18.940001,81200
2021-07-14,18.600000,19.100000,18.000999,18.340000,18.340000,120300
2021-07-15,18.350000,18.920000,17.209999,17.299999,17.299999,98800
2021-07-16,17.170000,18.240000,16.490000,17.860001,17.860001,151300
2021-07-19,17.760000,20.290001,17.274000,19.110001,19.110001,82800
2021-07-20,19.110001,19.590000,18.309999,18.510000,18.510000,114300
2021-07-21,18.309999,19.094999,17.150000,17.170000,17.170000,109900
2021-07-22,17.510000,17.584999,16.770000,17.129999,17.129999,62200
2021-07-23,16.870001,17.309000,16.480000,17.080000,17.080000,95500
2021-07-26,17.170000,19.680000,16.559999,16.570000,16.570000,135000
2021-07-27,16.930000,17.520000,14.410000,14.500000,14.500000,314400
2021-07-28,14.610000,15.760000,13.950000,14.900000,14.900000,291500
2021-07-29,14.770000,16.125000,14.340000,15.320000,15.320000,144500
2021-07-30,14.870000,15.675000,14.850000,15.480000,15.480000,149400
2021-08-02,15.410000,16.240000,14.500000,15.270000,15.270000,1018300
2021-08-03,15.350000,15.850000,14.700000,14.950000,14.950000,274800
2021-08-04,15.080000,16.010000,14.610000,14.650000,14.650000,81500
2021-08-05,14.850000,15.360000,14.750000,14.990000,14.990000,88300
2021-08-06,14.890000,15.183000,14.800000,15.010000,15.010000,76900
2021-08-09,15.110000,15.200000,14.800000,15.040000,15.040000,70000
2021-08-10,15.010000,15.108000,14.700000,14.750000,14.750000,90000
2021-08-11,15.130000,15.150000,14.660000,14.820000,14.820000,58700
2021-08-12,14.790000,15.090000,14.790000,14.900000,14.900000,64400
2021-08-13,15.100000,15.450000,14.900000,15.170000,15.170000,87000
2021-08-16,15.300000,15.385000,14.950000,15.290000,15.290000,62300
2021-08-17,15.030000,15.710000,15.000000,15.410000,15.410000,90853
