Date,Open,High,Low,Close,Adj Close,Volume
2016-10-07,9.100000,9.990000,8.000000,8.020000,8.020000,1793700
2016-10-10,8.000000,8.377000,8.000000,8.000000,8.000000,267600
2016-10-11,8.000000,8.140000,7.450000,7.500000,7.500000,282400
2016-10-12,7.500000,7.590000,7.500000,7.500000,7.500000,99000
2016-10-13,7.500000,7.628000,6.150000,6.780000,6.780000,145400
2016-10-14,6.580000,6.800000,6.280000,6.500000,6.500000,115300
2016-10-17,6.650000,6.690000,6.250000,6.690000,6.690000,162200
2016-10-18,6.750000,6.750000,6.400000,6.620000,6.620000,82100
2016-10-19,6.750000,6.750000,6.400000,6.560000,6.560000,22000
2016-10-20,6.410000,6.680000,6.410000,6.610000,6.610000,49400
2016-10-21,6.510000,6.650000,6.450000,6.500000,6.500000,90500
2016-10-24,6.540000,6.590000,6.430000,6.460000,6.460000,19100
2016-10-25,6.460000,6.693000,6.250000,6.330000,6.330000,57100
2016-10-26,6.290000,7.360000,6.260000,7.360000,7.360000,98000
2016-10-27,7.300000,7.650000,6.860000,7.500000,7.500000,275300
2016-10-28,7.510000,7.520000,6.590000,6.820000,6.820000,55300
2016-10-31,6.880000,6.900000,6.590000,6.660000,6.660000,39600
2016-11-01,6.400000,7.300000,6.400000,7.250000,7.250000,19000
2016-11-02,7.420000,7.420000,6.750000,6.980000,6.980000,54100
2016-11-03,7.200000,7.200000,6.450000,6.590000,6.590000,68400
2016-11-04,6.930000,7.000000,6.470000,6.870000,6.870000,44300
2016-11-07,7.250000,7.250000,6.750000,6.840000,6.840000,24000
2016-11-08,6.870000,7.190000,6.750000,7.040000,7.040000,19300
2016-11-09,6.980000,7.250000,6.900000,6.920000,6.920000,13200
2016-11-10,7.250000,7.250000,6.900000,7.030000,7.030000,9600
2016-11-11,7.000000,7.000000,6.800000,6.800000,6.800000,9700
2016-11-14,6.800000,7.165000,6.772000,6.930000,6.930000,36100
2016-11-15,7.490000,7.600000,6.810000,6.910000,6.910000,33900
2016-11-16,7.200000,7.528000,6.950000,6.960000,6.960000,17600
2016-11-17,7.040000,7.040000,6.860000,6.860000,6.860000,22800
2016-11-18,7.480000,7.480000,6.800000,7.200000,7.200000,30800
2016-11-21,7.190000,7.220000,7.000000,7.220000,7.220000,36600
2016-11-22,7.200000,7.250000,7.150000,7.230000,7.230000,27000
2016-11-23,7.280000,7.280000,6.900000,7.070000,7.070000,136900
2016-11-25,7.070000,7.290000,7.070000,7.290000,7.290000,9500
2016-11-28,7.170000,7.240000,7.000000,7.230000,7.230000,18400
2016-11-29,7.170000,7.330000,7.150000,7.330000,7.330000,21100
2016-11-30,7.280000,7.400000,7.200000,7.340000,7.340000,8300
2016-12-01,7.350000,7.590000,7.300000,7.500000,7.500000,22900
2016-12-02,7.500000,7.500000,7.210000,7.370000,7.370000,28200
2016-12-05,7.440000,7.640000,7.170000,7.390000,7.390000,42100
2016-12-06,7.450000,7.450000,7.220000,7.300000,7.300000,100700
2016-12-07,7.280000,7.500000,7.280000,7.350000,7.350000,29000
2016-12-08,7.350000,7.480000,7.250000,7.350000,7.350000,30800
2016-12-09,7.350000,7.350000,7.200000,7.340000,7.340000,21100
2016-12-12,7.340000,7.739000,7.340000,7.440000,7.440000,96700
2016-12-13,7.450000,7.450000,7.360000,7.440000,7.440000,44300
2016-12-14,7.390000,7.415000,7.150000,7.250000,7.250000,26700
2016-12-15,7.400000,7.440000,7.150000,7.170000,7.170000,26700
2016-12-16,7.200000,7.435000,6.630000,6.630000,6.630000,158100
2016-12-19,6.770000,7.135000,6.770000,6.910000,6.910000,38500
2016-12-20,6.940000,7.234000,6.940000,7.090000,7.090000,74600
2016-12-21,7.120000,7.340000,7.060000,7.070000,7.070000,71400
2016-12-22,7.070000,7.350000,7.070000,7.350000,7.350000,74000
2016-12-23,7.360000,7.450000,7.154000,7.330000,7.330000,23500
2016-12-27,7.340000,7.340000,7.130000,7.290000,7.290000,14800
2016-12-28,7.500000,7.500000,7.280000,7.280000,7.280000,28000
2016-12-29,7.400000,7.400000,7.310000,7.380000,7.380000,115500
2016-12-30,7.500000,8.300000,7.340000,8.290000,8.290000,67700
2017-01-03,8.260000,8.260000,7.600000,7.630000,7.630000,20700
2017-01-04,7.650000,7.939000,7.300000,7.610000,7.610000,14900
2017-01-05,7.470000,8.240000,7.450000,7.580000,7.580000,10100
2017-01-06,7.730000,8.189000,7.640000,7.660000,7.660000,102400
2017-01-09,7.710000,8.040000,7.710000,8.000000,8.000000,3500
2017-01-10,8.020000,8.080000,7.770000,7.775000,7.775000,5400
2017-01-11,8.200000,8.490000,8.000000,8.410000,8.410000,52300
2017-01-12,8.600000,8.600000,8.030000,8.030000,8.030000,29000
2017-01-13,8.050000,8.411000,8.040000,8.050000,8.050000,29300
2017-01-17,8.030000,8.205000,8.030000,8.110000,8.110000,35300
2017-01-18,8.330000,8.400000,8.244000,8.260000,8.260000,18300
2017-01-19,8.470000,8.500000,8.220000,8.240000,8.240000,32700
2017-01-20,8.294000,8.320000,8.033000,8.320000,8.320000,23000
2017-01-23,8.320000,8.320000,8.000000,8.250000,8.250000,20200
2017-01-24,8.260000,8.300000,7.910000,8.030000,8.030000,31000
2017-01-25,8.030000,8.320000,8.030000,8.180000,8.180000,31700
2017-01-26,8.150000,8.260000,8.149000,8.260000,8.260000,33200
2017-01-27,8.430000,8.440000,8.210000,8.240000,8.240000,10300
2017-01-30,8.230000,8.490000,8.200000,8.240000,8.240000,10400
2017-01-31,8.450000,8.450000,8.010000,8.110000,8.110000,16000
2017-02-01,8.100000,8.100000,7.950000,7.990000,7.990000,23700
2017-02-02,7.860000,8.010000,7.860000,7.970000,7.970000,24900
2017-02-03,8.100000,8.120000,7.950000,8.050000,8.050000,21900
2017-02-06,7.990000,8.100000,7.940000,8.010000,8.010000,5600
2017-02-07,8.080000,8.080000,8.000000,8.000000,8.000000,7800
2017-02-08,7.930000,8.000000,7.900000,7.920000,7.920000,40600
2017-02-09,7.980000,7.986000,7.783000,7.850000,7.850000,18600
2017-02-10,7.850000,8.020000,7.850000,7.990000,7.990000,3900
2017-02-13,7.950000,7.990000,7.950000,7.950000,7.950000,2000
2017-02-14,7.950000,8.710000,7.950000,8.700000,8.700000,114300
2017-02-15,9.250000,9.430000,8.700000,9.090000,9.090000,276600
2017-02-16,9.180000,9.380000,8.820000,9.040000,9.040000,42200
2017-02-17,9.040000,9.470000,9.025000,9.330000,9.330000,52900
2017-02-21,9.440000,10.000000,9.413000,9.990000,9.990000,120900
2017-02-22,10.080000,10.160000,9.900000,10.130000,10.130000,64300
2017-02-23,10.220000,10.220000,9.760000,9.910000,9.910000,41300
2017-02-24,9.880000,10.150000,9.510000,10.150000,10.150000,37900
2017-02-27,10.190000,10.190000,9.790000,9.870000,9.870000,17000
2017-02-28,9.826000,10.250000,9.700000,10.030000,10.030000,47600
2017-03-01,10.050000,10.278000,9.590000,9.780000,9.780000,48100
2017-03-02,9.920000,10.050000,9.757000,10.030000,10.030000,32100
2017-03-03,9.970000,9.970000,8.950000,9.010000,9.010000,79400
2017-03-06,8.990000,9.412000,8.970000,8.990000,8.990000,13500
2017-03-07,8.950000,9.050000,8.910000,9.000000,9.000000,22600
2017-03-08,8.950000,9.010000,8.880000,8.950000,8.950000,12800
2017-03-09,8.900000,8.960000,8.730000,8.790000,8.790000,22300
2017-03-10,8.750000,8.825000,8.250000,8.510000,8.510000,86800
2017-03-13,8.580000,8.580000,8.380000,8.500000,8.500000,34000
2017-03-14,8.420000,8.610000,8.290000,8.300000,8.300000,28300
2017-03-15,8.320000,8.364000,7.560000,7.560000,7.560000,42700
2017-03-16,7.500000,8.078000,7.490000,8.040000,8.040000,34800
2017-03-17,8.160000,8.380000,8.010000,8.090000,8.090000,29400
2017-03-20,8.210000,8.400000,8.000000,8.030000,8.030000,31800
2017-03-21,7.970000,8.200000,7.500000,7.500000,7.500000,32300
2017-03-22,7.520000,8.079000,7.520000,7.730000,7.730000,53400
2017-03-23,7.690000,8.020000,7.000000,7.800000,7.800000,57300
2017-03-24,7.870000,7.960000,7.590000,7.880000,7.880000,15800
2017-03-27,7.810000,8.060000,7.610000,7.650000,7.650000,24800
2017-03-28,7.470000,7.950000,7.470000,7.700000,7.700000,23700
