Date,Open,High,Low,Close,Adj Close,Volume
2018-11-21,9.680000,9.720000,9.650000,9.670000,9.670000,1261800
2018-11-23,9.680000,9.680000,9.680000,9.680000,9.680000,15000
2018-11-26,9.750000,9.780000,9.680000,9.780000,9.780000,5800
2018-11-27,9.700000,9.730000,9.700000,9.730000,9.730000,26100
2018-11-28,9.730000,9.730000,9.730000,9.730000,9.730000,100
2018-11-29,9.730000,9.730000,9.730000,9.730000,9.730000,0
2018-11-30,9.730000,9.730000,9.720000,9.720000,9.720000,115300
2018-12-03,9.720000,9.760000,9.720000,9.740000,9.740000,527300
2018-12-04,9.730000,9.740000,9.720000,9.740000,9.740000,53800
2018-12-06,9.770000,9.770000,9.730000,9.740000,9.740000,595300
2018-12-07,9.740000,9.760000,9.730000,9.760000,9.760000,32200
2018-12-10,9.760000,9.760000,9.760000,9.760000,9.760000,0
2018-12-11,9.750000,9.750000,9.750000,9.750000,9.750000,250000
2018-12-12,9.750000,9.750000,9.750000,9.750000,9.750000,400000
2018-12-13,9.720000,9.770000,9.720000,9.770000,9.770000,9800
2018-12-14,9.770000,9.770000,9.770000,9.770000,9.770000,1100
2018-12-17,9.770000,9.770000,9.770000,9.770000,9.770000,0
2018-12-18,9.770000,9.770000,9.770000,9.770000,9.770000,400
2018-12-19,9.770000,9.770000,9.770000,9.770000,9.770000,95000
2018-12-20,9.770000,9.770000,9.770000,9.770000,9.770000,9900
2018-12-21,9.770000,9.770000,9.770000,9.770000,9.770000,0
2018-12-24,9.770000,9.770000,9.770000,9.770000,9.770000,0
2018-12-26,9.770000,9.770000,9.770000,9.770000,9.770000,0
2018-12-27,9.800000,9.800000,9.750000,9.800000,9.800000,5700
2018-12-28,9.800000,9.800000,9.800000,9.800000,9.800000,1000
2018-12-31,9.800000,9.800000,9.800000,9.800000,9.800000,900
2019-01-02,9.730000,9.750000,9.730000,9.750000,9.750000,1300
2019-01-03,9.750000,9.750000,9.750000,9.750000,9.750000,100
2019-01-04,9.770000,9.770000,9.750000,9.750000,9.750000,5100
2019-01-07,9.750000,9.760000,9.750000,9.750000,9.750000,10000
2019-01-08,9.770000,9.820000,9.770000,9.820000,9.820000,50000
2019-01-09,9.800000,9.820000,9.800000,9.820000,9.820000,333900
