Date,Open,High,Low,Close,Adj Close,Volume
2021-02-09,5.400000,9.070000,5.200000,5.820000,5.820000,2050100
2021-02-10,7.000000,7.000000,6.000000,6.490000,6.490000,1121500
2021-02-11,6.800000,6.800000,6.000000,6.070000,6.070000,274500
2021-02-12,5.970000,5.980000,4.810000,5.210000,5.210000,484200
2021-02-16,5.250000,5.400000,5.010000,5.060000,5.060000,258100
2021-02-17,5.200000,5.210000,4.260000,4.370000,4.370000,292000
2021-02-18,4.350000,4.460000,4.050000,4.180000,4.180000,225500
2021-02-19,4.400000,4.500000,4.220000,4.350000,4.350000,167200
2021-02-22,4.350000,4.500000,4.160000,4.220000,4.220000,103300
2021-02-23,4.130000,4.200000,3.770000,4.010000,4.010000,138500
2021-02-24,3.930000,5.250000,3.900000,4.390000,4.390000,969800
2021-02-25,5.000000,5.150000,4.620000,4.840000,4.840000,459900
2021-02-26,4.860000,4.860000,4.180000,4.220000,4.220000,200000
2021-03-01,4.480000,4.678000,4.300000,4.590000,4.590000,158200
2021-03-02,4.800000,5.490000,4.700000,5.330000,5.330000,2691900
2021-03-03,5.600000,6.500000,4.910000,5.110000,5.110000,2688400
2021-03-04,5.020000,5.030000,4.030000,4.500000,4.500000,375900
2021-03-05,4.280000,4.468000,3.950000,4.200000,4.200000,195800
2021-03-08,4.240000,4.960000,4.000000,4.860000,4.860000,263000
2021-03-09,4.490000,4.712000,4.220000,4.380000,4.380000,251800
2021-03-10,4.380000,4.450000,4.250000,4.360000,4.360000,75300
2021-03-11,4.400000,4.540000,4.310000,4.410000,4.410000,77500
2021-03-12,4.380000,4.500000,4.250000,4.390000,4.390000,72300
2021-03-15,4.868000,5.480000,4.680000,5.180000,5.180000,507400
2021-03-16,5.180000,5.681000,4.960000,5.160000,5.160000,272100
2021-03-17,5.040000,5.500000,5.020000,5.400000,5.400000,83100
2021-03-18,5.330000,5.611000,5.060000,5.190000,5.190000,146200
2021-03-19,5.200000,5.500000,4.920000,4.920000,4.920000,175200
2021-03-22,5.000000,5.450000,4.850000,5.290000,5.290000,96700
2021-03-23,5.030000,5.165000,4.840000,4.970000,4.970000,91900
2021-03-24,5.000000,5.380000,4.245000,4.260000,4.260000,141000
2021-03-25,4.260000,4.450000,4.260000,4.410000,4.410000,44800
2021-03-26,4.460000,4.690000,4.440000,4.480000,4.480000,55100
2021-03-29,4.500000,4.550000,4.350000,4.500000,4.500000,47200
2021-03-30,4.380000,4.490000,4.250000,4.260000,4.260000,64800
2021-03-31,4.280000,4.570000,4.280000,4.360000,4.360000,59800
2021-04-01,4.490000,4.494000,4.340000,4.380000,4.380000,39300
2021-04-05,4.350000,4.380000,4.160000,4.320000,4.320000,86800
2021-04-06,4.310000,4.310000,4.100000,4.100000,4.100000,36500
2021-04-07,4.110000,4.150000,3.860000,3.940000,3.940000,187400
2021-04-08,4.000000,4.410000,3.780000,4.260000,4.260000,268800
2021-04-09,4.160000,4.370000,4.020000,4.080000,4.080000,80800
2021-04-12,4.160000,4.190000,3.850000,3.890000,3.890000,79100
2021-04-13,3.870000,3.910000,3.510000,3.640000,3.640000,84300
2021-04-14,3.650000,3.780000,3.320000,3.420000,3.420000,97400
2021-04-15,3.500000,3.500000,2.920000,3.010000,3.010000,129100
2021-04-16,2.950000,3.147000,2.820000,3.100000,3.100000,101200
2021-04-19,3.100000,3.700000,3.100000,3.470000,3.470000,329500
2021-04-20,3.380000,4.080000,3.200000,3.260000,3.260000,375100
2021-04-21,3.150000,3.440000,3.120000,3.420000,3.420000,63000
2021-04-22,3.540000,3.620000,3.288000,3.410000,3.410000,73700
2021-04-23,3.340000,3.410000,3.200000,3.360000,3.360000,28400
2021-04-26,3.370000,3.570000,3.295000,3.490000,3.490000,85400
2021-04-27,3.450000,3.650000,3.380000,3.620000,3.620000,54600
2021-04-28,3.570000,3.660000,3.510000,3.600000,3.600000,25900
2021-04-29,3.580000,3.580000,3.230000,3.370000,3.370000,31700
